Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %
Цех Alpha;2025-07;Модуль D;72;0;-72;0.0%
Цех Alpha;2025-07;Рама E;106;0;-106;0.0%
Цех Alpha;2025-07;Кронштейн F;120;0;-120;0.0%
Цех Alpha;2025-07;Шток G;76;0;-76;0.0%
Цех Alpha;2025-07;Плата H;90;0;-90;0.0%
Цех Alpha;2025-08;Деталь A;78;0;-78;0.0%
Цех Alpha;2025-08;Узел B;108;0;-108;0.0%
Цех Alpha;2025-08;Корпус C;87;0;-87;0.0%
Цех Alpha;2025-08;Модуль D;73;0;-73;0.0%
Цех Alpha;2025-08;Рама E;94;0;-94;0.0%
Цех Alpha;2025-08;Кронштейн F;129;0;-129;0.0%
Цех Alpha;2025-08;Шток G;83;0;-83;0.0%
Цех Alpha;2025-08;Плата H;119;0;-119;0.0%
Цех Alpha;2025-09;Деталь A;127;0;-127;0.0%
Цех Alpha;2025-09;Узел B;78;0;-78;0.0%
Цех Alpha;2025-09;Корпус C;95;0;-95;0.0%
Цех Alpha;2025-09;Модуль D;122;0;-122;0.0%
Цех Alpha;2025-09;Рама E;71;0;-71;0.0%
Цех Alpha;2025-09;Кронштейн F;89;0;-89;0.0%
Цех Alpha;2025-09;Шток G;97;0;-97;0.0%
Цех Alpha;2025-09;Плата H;116;0;-116;0.0%
Цех Alpha;2025-10;Деталь A;129;0;-129;0.0%
Цех Alpha;2025-10;Узел B;76;0;-76;0.0%
Цех Alpha;2025-10;Корпус C;113;0;-113;0.0%
Цех Alpha;2025-10;Модуль D;130;0;-130;0.0%
Цех Alpha;2025-10;Рама E;77;0;-77;0.0%
Цех Alpha;2025-10;Кронштейн F;116;0;-116;0.0%
Цех Alpha;2025-10;Шток G;104;0;-104;0.0%
Цех Alpha;2025-10;Плата H;83;0;-83;0.0%
Цех Alpha;2025-11;Деталь A;86;0;-86;0.0%
Цех Alpha;2025-11;Узел B;105;0;-105;0.0%
Цех Alpha;2025-11;Корпус C;119;0;-119;0.0%
Цех Alpha;2025-11;Модуль D;109;0;-109;0.0%
Цех Alpha;2025-11;Рама E;73;0;-73;0.0%
Цех Alpha;2025-11;Кронштейн F;71;0;-71;0.0%
Цех Alpha;2025-11;Шток G;75;0;-75;0.0%
Цех Alpha;2025-11;Плата H;123;0;-123;0.0%
Цех Alpha;2025-12;Деталь A;111;0;-111;0.0%
Цех Alpha;2025-12;Узел B;73;0;-73;0.0%
Цех Alpha;2025-12;Корпус C;123;0;-123;0.0%
Цех Alpha;2025-12;Модуль D;98;0;-98;0.0%
Цех Alpha;2025-12;Рама E;87;0;-87;0.0%
Цех Alpha;2025-12;Кронштейн F;95;0;-95;0.0%
Цех Alpha;2025-12;Шток G;113;0;-113;0.0%
Цех Alpha;2025-12;Плата H;103;0;-103;0.0%
Цех Beta;2025-01;Деталь A;79;0;-79;0.0%
Цех Beta;2025-01;Узел B;105;0;-105;0.0%
Цех Beta;2025-01;Корпус C;83;0;-83;0.0%
Цех Beta;2025-01;Модуль D;100;0;-100;0.0%
Цех Beta;2025-01;Рама E;117;0;-117;0.0%
Цех Beta;2025-01;Кронштейн F;84;0;-84;0.0%
Цех Beta;2025-01;Шток G;77;0;-77;0.0%
Цех Beta;2025-01;Плата H;83;0;-83;0.0%
Цех Beta;2025-02;Деталь A;92;0;-92;0.0%
Цех Beta;2025-02;Узел B;129;0;-129;0.0%
Цех Beta;2025-02;Корпус C;126;0;-126;0.0%
Цех Beta;2025-02;Модуль D;109;0;-109;0.0%
Цех Beta;2025-02;Рама E;90;0;-90;0.0%
Цех Beta;2025-02;Кронштейн F;85;0;-85;0.0%
Цех Beta;2025-02;Шток G;114;0;-114;0.0%
Цех Beta;2025-02;Плата H;87;0;-87;0.0%
Цех Beta;2025-03;Деталь A;116;0;-116;0.0%
Цех Beta;2025-03;Узел B;122;0;-122;0.0%
Цех Beta;2025-03;Корпус C;93;0;-93;0.0%
Цех Beta;2025-03;Модуль D;95;0;-95;0.0%
Цех Beta;2025-03;Рама E;94;0;-94;0.0%
Цех Beta;2025-03;Кронштейн F;129;0;-129;0.0%
Цех Beta;2025-03;Шток G;129;0;-129;0.0%
Цех Beta;2025-03;Плата H;129;0;-129;0.0%
Цех Beta;2025-04;Деталь A;114;0;-114;0.0%
Цех Beta;2025-04;Узел B;110;0;-110;0.0%
Цех Beta;2025-04;Корпус C;98;0;-98;0.0%
Цех Beta;2025-04;Модуль D;84;0;-84;0.0%
Цех Beta;2025-04;Рама E;114;0;-114;0.0%
Цех Beta;2025-04;Кронштейн F;70;0;-70;0.0%
Цех Beta;2025-04;Шток G;94;0;-94;0.0%
Цех Beta;2025-04;Плата H;76;0;-76;0.0%
Цех Beta;2025-05;Деталь A;78;0;-78;0.0%
Цех Beta;2025-05;Узел B;93;0;-93;0.0%
Цех Beta;2025-05;Корпус C;70;0;-70;0.0%
Цех Beta;2025-05;Модуль D;113;0;-113;0.0%
Цех Beta;2025-05;Рама E;77;0;-77;0.0%
Цех Beta;2025-05;Кронштейн F;93;0;-93;0.0%
Цех Beta;2025-05;Шток G;80;0;-80;0.0%
Цех Beta;2025-05;Плата H;120;0;-120;0.0%
Цех Beta;2025-06;Деталь A;86;0;-86;0.0%
Цех Beta;2025-06;Узел B;77;0;-77;0.0%
Цех Beta;2025-06;Корпус C;104;0;-104;0.0%
Цех Beta;2025-06;Модуль D;104;0;-104;0.0%
Цех Beta;2025-06;Рама E;102;0;-102;0.0%
Цех Beta;2025-06;Кронштейн F;128;0;-128;0.0%
Цех Beta;2025-06;Шток G;74;0;-74;0.0%
Цех Beta;2025-06;Плата H;111;0;-111;0.0%
Цех Beta;2025-07;Деталь A;108;0;-108;0.0%
Цех Beta;2025-07;Узел B;127;0;-127;0.0%
Цех Beta;2025-07;Корпус C;110;0;-110;0.0%
Цех Beta;2025-07;Модуль D;97;0;-97;0.0%
Цех Beta;2025-07;Рама E;76;0;-76;0.0%
Цех Beta;2025-07;Кронштейн F;78;0;-78;0.0%
Цех Beta;2025-07;Шток G;77;0;-77;0.0%
Цех Beta;2025-07;Плата H;81;0;-81;0.0%
Цех Beta;2025-08;Деталь A;103;0;-103;0.0%
Цех Beta;2025-08;Узел B;102;0;-102;0.0%
Цех Beta;2025-08;Корпус C;117;0;-117;0.0%
Цех Beta;2025-08;Модуль D;124;0;-124;0.0%
Цех Beta;2025-08;Рама E;92;0;-92;0.0%
Цех Beta;2025-08;Кронштейн F;93;0;-93;0.0%
Цех Beta;2025-08;Шток G;106;0;-106;0.0%
Цех Beta;2025-08;Плата H;104;0;-104;0.0%
Цех Beta;2025-09;Деталь A;113;0;-113;0.0%
Цех Beta;2025-09;Узел B;109;0;-109;0.0%
Цех Beta;2025-09;Корпус C;91;0;-91;0.0%
Цех Beta;2025-09;Модуль D;96;0;-96;0.0%
Цех Beta;2025-09;Рама E;104;0;-104;0.0%
Цех Beta;2025-09;Кронштейн F;70;0;-70;0.0%
Цех Beta;2025-09;Шток G;104;0;-104;0.0%
Цех Beta;2025-09;Плата H;106;0;-106;0.0%
Цех Beta;2025-10;Деталь A;116;0;-116;0.0%
Цех Beta;2025-10;Узел B;83;0;-83;0.0%
Цех Beta;2025-10;Корпус C;72;0;-72;0.0%
Цех Beta;2025-10;Модуль D;70;0;-70;0.0%
Цех Beta;2025-10;Рама E;74;0;-74;0.0%
Цех Beta;2025-10;Кронштейн F;95;0;-95;0.0%
Цех Beta;2025-10;Шток G;124;0;-124;0.0%
Цех Beta;2025-10;Плата H;83;0;-83;0.0%
Цех Beta;2025-11;Деталь A;108;0;-108;0.0%
Цех Beta;2025-11;Узел B;96;0;-96;0.0%
Цех Beta;2025-11;Корпус C;78;0;-78;0.0%
Цех Beta;2025-11;Модуль D;84;0;-84;0.0%
Цех Beta;2025-11;Рама E;84;0;-84;0.0%
Цех Beta;2025-11;Кронштейн F;95;0;-95;0.0%
Цех Beta;2025-11;Шток G;111;0;-111;0.0%
Цех Beta;2025-11;Плата H;129;0;-129;0.0%
Цех Beta;2025-12;Деталь A;82;0;-82;0.0%
Цех Beta;2025-12;Узел B;120;0;-120;0.0%
Цех Beta;2025-12;Корпус C;101;0;-101;0.0%
Цех Beta;2025-12;Модуль D;108;0;-108;0.0%
Цех Beta;2025-12;Рама E;118;0;-118;0.0%
Цех Beta;2025-12;Кронштейн F;121;0;-121;0.0%
Цех Beta;2025-12;Шток G;130;0;-130;0.0%
Цех Beta;2025-12;Плата H;101;0;-101;0.0%
Цех Gamma;2025-01;Деталь A;73;0;-73;0.0%
Цех Gamma;2025-01;Узел B;99;0;-99;0.0%
Цех Gamma;2025-01;Корпус C;106;0;-106;0.0%
Цех Gamma;2025-01;Модуль D;92;0;-92;0.0%
Цех Gamma;2025-01;Рама E;108;0;-108;0.0%
Цех Gamma;2025-01;Кронштейн F;114;0;-114;0.0%
Цех Gamma;2025-01;Шток G;84;0;-84;0.0%
Цех Gamma;2025-01;Плата H;112;0;-112;0.0%
Цех Gamma;2025-02;Деталь A;98;0;-98;0.0%
Цех Gamma;2025-02;Узел B;105;0;-105;0.0%
Цех Gamma;2025-02;Корпус C;82;0;-82;0.0%
Цех Gamma;2025-02;Модуль D;101;0;-101;0.0%
Цех Gamma;2025-02;Рама E;76;0;-76;0.0%
Цех Gamma;2025-02;Кронштейн F;128;0;-128;0.0%
Цех Gamma;2025-02;Шток G;120;0;-120;0.0%
Цех Gamma;2025-02;Плата H;91;0;-91;0.0%
Цех Gamma;2025-03;Деталь A;97;0;-97;0.0%
Цех Gamma;2025-03;Узел B;71;0;-71;0.0%
Цех Gamma;2025-03;Корпус C;111;0;-111;0.0%
Цех Gamma;2025-03;Модуль D;114;0;-114;0.0%
Цех Gamma;2025-03;Рама E;126;0;-126;0.0%
Цех Gamma;2025-03;Кронштейн F;122;0;-122;0.0%
Цех Gamma;2025-03;Шток G;75;0;-75;0.0%
Цех Gamma;2025-03;Плата H;97;0;-97;0.0%
Цех Gamma;2025-04;Деталь A;97;0;-97;0.0%
Цех Gamma;2025-04;Узел B;113;0;-113;0.0%
Цех Gamma;2025-04;Корпус C;113;0;-113;0.0%
Цех Gamma;2025-04;Модуль D;89;0;-89;0.0%
Цех Gamma;2025-04;Рама E;99;0;-99;0.0%
Цех Gamma;2025-04;Кронштейн F;80;0;-80;0.0%
Цех Gamma;2025-04;Шток G;127;0;-127;0.0%
Цех Gamma;2025-04;Плата H;124;0;-124;0.0%
Цех Gamma;2025-05;Деталь A;97;0;-97;0.0%
Цех Gamma;2025-05;Узел B;94;0;-94;0.0%
Цех Gamma;2025-05;Корпус C;108;0;-108;0.0%
Цех Gamma;2025-05;Модуль D;102;0;-102;0.0%
Цех Gamma;2025-05;Рама E;70;0;-70;0.0%
Цех Gamma;2025-05;Кронштейн F;126;0;-126;0.0%
Цех Gamma;2025-05;Шток G;96;0;-96;0.0%
Цех Gamma;2025-05;Плата H;126;0;-126;0.0%
Цех Gamma;2025-06;Деталь A;121;0;-121;0.0%
Цех Gamma;2025-06;Узел B;82;0;-82;0.0%
Цех Gamma;2025-06;Корпус C;110;0;-110;0.0%
Цех Gamma;2025-06;Модуль D;72;0;-72;0.0%
Цех Gamma;2025-06;Рама E;108;0;-108;0.0%
Цех Gamma;2025-06;Кронштейн F;75;0;-75;0.0%
Цех Gamma;2025-06;Шток G;77;0;-77;0.0%
Цех Gamma;2025-06;Плата H;96;0;-96;0.0%
Цех Gamma;2025-07;Деталь A;78;0;-78;0.0%
Цех Gamma;2025-07;Узел B;106;0;-106;0.0%
Цех Gamma;2025-07;Корпус C;102;0;-102;0.0%
Цех Gamma;2025-07;Модуль D;120;0;-120;0.0%
Цех Gamma;2025-07;Рама E;111;0;-111;0.0%
Цех Gamma;2025-07;Кронштейн F;113;0;-113;0.0%
Цех Gamma;2025-07;Шток G;93;0;-93;0.0%
Цех Gamma;2025-07;Плата H;84;0;-84;0.0%
Цех Gamma;2025-08;Деталь A;128;0;-128;0.0%
Цех Gamma;2025-08;Узел B;123;0;-123;0.0%
Цех Gamma;2025-08;Корпус C;101;0;-101;0.0%
Цех Gamma;2025-08;Модуль D;101;0;-101;0.0%
Цех Gamma;2025-08;Рама E;93;0;-93;0.0%
Цех Gamma;2025-08;Кронштейн F;110;0;-110;0.0%
Цех Gamma;2025-08;Шток G;121;0;-121;0.0%
Цех Gamma;2025-08;Плата H;118;0;-118;0.0%
Цех Gamma;2025-09;Деталь A;118;0;-118;0.0%
Цех Gamma;2025-09;Узел B;127;0;-127;0.0%
Цех Gamma;2025-09;Корпус C;121;0;-121;0.0%
Цех Gamma;2025-09;Модуль D;81;0;-81;0.0%
Цех Gamma;2025-09;Рама E;108;0;-108;0.0%
Цех Gamma;2025-09;Кронштейн F;71;0;-71;0.0%
Цех Gamma;2025-09;Шток G;72;0;-72;0.0%
Цех Gamma;2025-09;Плата H;118;0;-118;0.0%
Цех Gamma;2025-10;Деталь A;106;0;-106;0.0%
Цех Gamma;2025-10;Узел B;118;0;-118;0.0%
Цех Gamma;2025-10;Корпус C;125;0;-125;0.0%
Цех Gamma;2025-10;Модуль D;86;0;-86;0.0%
Цех Gamma;2025-10;Рама E;128;0;-128;0.0%
Цех Gamma;2025-10;Кронштейн F;118;0;-118;0.0%
Цех Gamma;2025-10;Шток G;71;0;-71;0.0%
Цех Gamma;2025-10;Плата H;71;0;-71;0.0%
Цех Gamma;2025-11;Деталь A;97;0;-97;0.0%
Цех Gamma;2025-11;Узел B;123;0;-123;0.0%
Цех Gamma;2025-11;Корпус C;92;0;-92;0.0%
Цех Gamma;2025-11;Модуль D;106;0;-106;0.0%
Цех Gamma;2025-11;Рама E;101;0;-101;0.0%
Цех Gamma;2025-11;Кронштейн F;102;0;-102;0.0%
Цех Gamma;2025-11;Шток G;70;0;-70;0.0%
Цех Gamma;2025-11;Плата H;88;0;-88;0.0%
Цех Gamma;2025-12;Деталь A;71;0;-71;0.0%
Цех Gamma;2025-12;Узел B;122;0;-122;0.0%
Цех Gamma;2025-12;Корпус C;113;0;-113;0.0%
Цех Gamma;2025-12;Модуль D;95;0;-95;0.0%
Цех Gamma;2025-12;Рама E;101;0;-101;0.0%
Цех Gamma;2025-12;Кронштейн F;75;0;-75;0.0%
Цех Gamma;2025-12;Шток G;101;0;-101;0.0%
Цех Gamma;2025-12;Плата H;124;0;-124;0.0%
Цех Delta;2025-01;Деталь A;73;0;-73;0.0%
Цех Delta;2025-01;Узел B;124;0;-124;0.0%
Цех Delta;2025-01;Корпус C;80;0;-80;0.0%
Цех Delta;2025-01;Модуль D;125;0;-125;0.0%
Цех Delta;2025-01;Рама E;128;0;-128;0.0%
Цех Delta;2025-01;Кронштейн F;86;0;-86;0.0%
Цех Delta;2025-01;Шток G;107;0;-107;0.0%
Цех Delta;2025-01;Плата H;93;0;-93;0.0%
Цех Delta;2025-02;Деталь A;74;0;-74;0.0%
Цех Delta;2025-02;Узел B;121;0;-121;0.0%
Цех Delta;2025-02;Корпус C;103;0;-103;0.0%
Цех Delta;2025-02;Модуль D;75;0;-75;0.0%
Цех Delta;2025-02;Рама E;91;0;-91;0.0%
Цех Delta;2025-02;Кронштейн F;80;0;-80;0.0%
Цех Delta;2025-02;Шток G;117;0;-117;0.0%
Цех Delta;2025-02;Плата H;85;0;-85;0.0%
Цех Delta;2025-03;Деталь A;102;0;-102;0.0%
Цех Delta;2025-03;Узел B;78;0;-78;0.0%
Цех Delta;2025-03;Корпус C;129;0;-129;0.0%
Цех Delta;2025-03;Модуль D;128;0;-128;0.0%
Цех Delta;2025-03;Рама E;75;0;-75;0.0%
Цех Delta;2025-03;Кронштейн F;85;0;-85;0.0%
Цех Delta;2025-03;Шток G;98;0;-98;0.0%
Цех Delta;2025-03;Плата H;72;0;-72;0.0%
Цех Delta;2025-04;Деталь A;89;0;-89;0.0%
Цех Delta;2025-04;Узел B;129;0;-129;0.0%
Цех Delta;2025-04;Корпус C;128;0;-128;0.0%
Цех Delta;2025-04;Модуль D;105;0;-105;0.0%
Цех Delta;2025-04;Рама E;88;0;-88;0.0%
Цех Delta;2025-04;Кронштейн F;95;0;-95;0.0%
Цех Delta;2025-04;Шток G;72;0;-72;0.0%
Цех Delta;2025-04;Плата H;88;0;-88;0.0%
Цех Delta;2025-05;Деталь A;89;0;-89;0.0%
Цех Delta;2025-05;Узел B;101;0;-101;0.0%
Цех Delta;2025-05;Корпус C;76;0;-76;0.0%
Цех Delta;2025-05;Модуль D;121;0;-121;0.0%
Цех Delta;2025-05;Рама E;110;0;-110;0.0%
Цех Delta;2025-05;Кронштейн F;102;0;-102;0.0%
Цех Delta;2025-05;Шток G;109;0;-109;0.0%
Цех Delta;2025-05;Плата H;108;0;-108;0.0%
Цех Delta;2025-06;Деталь A;87;0;-87;0.0%
Цех Delta;2025-06;Узел B;109;0;-109;0.0%
Цех Delta;2025-06;Корпус C;70;0;-70;0.0%
Цех Delta;2025-06;Модуль D;80;0;-80;0.0%
Цех Delta;2025-06;Рама E;97;0;-97;0.0%
Цех Delta;2025-06;Кронштейн F;126;0;-126;0.0%
Цех Delta;2025-06;Шток G;94;0;-94;0.0%
Цех Delta;2025-06;Плата H;119;0;-119;0.0%
Цех Delta;2025-07;Деталь A;92;0;-92;0.0%
Цех Delta;2025-07;Узел B;100;0;-100;0.0%
Цех Delta;2025-07;Корпус C;99;0;-99;0.0%
Цех Delta;2025-07;Модуль D;111;0;-111;0.0%
Цех Delta;2025-07;Рама E;104;0;-104;0.0%
Цех Delta;2025-07;Кронштейн F;76;0;-76;0.0%
Цех Delta;2025-07;Шток G;129;0;-129;0.0%
Цех Delta;2025-07;Плата H;85;0;-85;0.0%
Цех Delta;2025-08;Деталь A;95;0;-95;0.0%
Цех Delta;2025-08;Узел B;117;0;-117;0.0%
Цех Delta;2025-08;Корпус C;126;0;-126;0.0%
Цех Delta;2025-08;Модуль D;121;0;-121;0.0%
Цех Delta;2025-08;Рама E;129;0;-129;0.0%
Цех Delta;2025-08;Кронштейн F;118;0;-118;0.0%
Цех Delta;2025-08;Шток G;71;0;-71;0.0%
Цех Delta;2025-08;Плата H;70;0;-70;0.0%
Цех Delta;2025-09;Деталь A;117;0;-117;0.0%
Цех Delta;2025-09;Узел B;81;0;-81;0.0%
Цех Delta;2025-09;Корпус C;74;0;-74;0.0%
Цех Delta;2025-09;Модуль D;106;0;-106;0.0%
Цех Delta;2025-09;Рама E;101;0;-101;0.0%
Цех Delta;2025-09;Кронштейн F;128;0;-128;0.0%
Цех Delta;2025-09;Шток G;124;0;-124;0.0%
Цех Delta;2025-09;Плата H;78;0;-78;0.0%
Цех Delta;2025-10;Деталь A;110;0;-110;0.0%
Цех Delta;2025-10;Узел B;104;0;-104;0.0%
Цех Delta;2025-10;Корпус C;88;0;-88;0.0%
Цех Delta;2025-10;Модуль D;117;0;-117;0.0%
Цех Delta;2025-10;Рама E;85;0;-85;0.0%
Цех Delta;2025-10;Кронштейн F;72;0;-72;0.0%
Цех Delta;2025-10;Шток G;89;0;-89;0.0%
Цех Delta;2025-10;Плата H;93;0;-93;0.0%
Цех Delta;2025-11;Деталь A;123;0;-123;0.0%
Цех Delta;2025-11;Узел B;125;0;-125;0.0%
Цех Delta;2025-11;Корпус C;102;0;-102;0.0%
Цех Delta;2025-11;Модуль D;93;0;-93;0.0%
Цех Delta;2025-11;Рама E;121;0;-121;0.0%
Цех Delta;2025-11;Кронштейн F;80;0;-80;0.0%
Цех Delta;2025-11;Шток G;118;0;-118;0.0%
Цех Delta;2025-11;Плата H;77;0;-77;0.0%
Цех Delta;2025-12;Деталь A;105;0;-105;0.0%
Цех Delta;2025-12;Узел B;107;0;-107;0.0%
Цех Delta;2025-12;Корпус C;109;0;-109;0.0%
Цех Delta;2025-12;Модуль D;89;0;-89;0.0%
Цех Delta;2025-12;Рама E;104;0;-104;0.0%
Цех Delta;2025-12;Кронштейн F;117;0;-117;0.0%
Цех Delta;2025-12;Шток G;94;0;-94;0.0%
Цех Delta;2025-12;Плата H;104;0;-104;0.0%
Цех Epsilon;2025-01;Деталь A;94;0;-94;0.0%
Цех Epsilon;2025-01;Узел B;98;0;-98;0.0%
Цех Epsilon;2025-01;Корпус C;87;0;-87;0.0%
Цех Epsilon;2025-01;Модуль D;115;0;-115;0.0%
Цех Epsilon;2025-01;Рама E;87;0;-87;0.0%
Цех Epsilon;2025-01;Кронштейн F;71;0;-71;0.0%
Цех Epsilon;2025-01;Шток G;123;0;-123;0.0%
Цех Epsilon;2025-01;Плата H;104;0;-104;0.0%
Цех Epsilon;2025-02;Деталь A;85;0;-85;0.0%
Цех Epsilon;2025-02;Узел B;130;0;-130;0.0%
Цех Epsilon;2025-02;Корпус C;110;0;-110;0.0%
Цех Epsilon;2025-02;Модуль D;105;0;-105;0.0%
Цех Epsilon;2025-02;Рама E;102;0;-102;0.0%
Цех Epsilon;2025-02;Кронштейн F;73;0;-73;0.0%
Цех Epsilon;2025-02;Шток G;102;0;-102;0.0%
Цех Epsilon;2025-02;Плата H;83;0;-83;0.0%
Цех Epsilon;2025-03;Деталь A;90;0;-90;0.0%
Цех Epsilon;2025-03;Узел B;117;0;-117;0.0%
Цех Epsilon;2025-03;Корпус C;89;0;-89;0.0%
Цех Epsilon;2025-03;Модуль D;125;0;-125;0.0%
Цех Epsilon;2025-03;Рама E;77;0;-77;0.0%
Цех Epsilon;2025-03;Кронштейн F;76;0;-76;0.0%
Цех Epsilon;2025-03;Шток G;72;0;-72;0.0%
Цех Epsilon;2025-03;Плата H;86;0;-86;0.0%
Цех Epsilon;2025-04;Деталь A;102;0;-102;0.0%
Цех Epsilon;2025-04;Узел B;117;0;-117;0.0%
Цех Epsilon;2025-04;Корпус C;81;0;-81;0.0%
Цех Epsilon;2025-04;Модуль D;128;0;-128;0.0%
Цех Epsilon;2025-04;Рама E;120;0;-120;0.0%
Цех Epsilon;2025-04;Кронштейн F;91;0;-91;0.0%
Цех Epsilon;2025-04;Шток G;124;0;-124;0.0%
Цех Epsilon;2025-04;Плата H;91;0;-91;0.0%
Цех Epsilon;2025-05;Деталь A;115;0;-115;0.0%
Цех Epsilon;2025-05;Узел B;99;0;-99;0.0%
Цех Epsilon;2025-05;Корпус C;107;0;-107;0.0%
Цех Epsilon;2025-05;Модуль D;107;0;-107;0.0%
Цех Epsilon;2025-05;Рама E;114;0;-114;0.0%
Цех Epsilon;2025-05;Кронштейн F;120;0;-120;0.0%
Цех Epsilon;2025-05;Шток G;123;0;-123;0.0%
Цех Epsilon;2025-05;Плата H;77;0;-77;0.0%
Цех Epsilon;2025-06;Деталь A;96;0;-96;0.0%
Цех Epsilon;2025-06;Узел B;96;0;-96;0.0%
Цех Epsilon;2025-06;Корпус C;103;0;-103;0.0%
Цех Epsilon;2025-06;Модуль D;90;0;-90;0.0%
Цех Epsilon;2025-06;Рама E;99;0;-99;0.0%
Цех Epsilon;2025-06;Кронштейн F;102;0;-102;0.0%
Цех Epsilon;2025-06;Шток G;97;0;-97;0.0%
Цех Epsilon;2025-06;Плата H;116;0;-116;0.0%
Цех Epsilon;2025-07;Деталь A;102;0;-102;0.0%
Цех Epsilon;2025-07;Узел B;74;0;-74;0.0%
Цех Epsilon;2025-07;Корпус C;129;0;-129;0.0%
Цех Epsilon;2025-07;Модуль D;130;0;-130;0.0%
Цех Epsilon;2025-07;Рама E;117;0;-117;0.0%
Цех Epsilon;2025-07;Кронштейн F;88;0;-88;0.0%
Цех Epsilon;2025-07;Шток G;73;0;-73;0.0%
Цех Epsilon;2025-07;Плата H;104;0;-104;0.0%
Цех Epsilon;2025-08;Деталь A;118;0;-118;0.0%
Цех Epsilon;2025-08;Узел B;86;0;-86;0.0%
Цех Epsilon;2025-08;Корпус C;113;0;-113;0.0%
Цех Epsilon;2025-08;Модуль D;97;0;-97;0.0%
Цех Epsilon;2025-08;Рама E;99;0;-99;0.0%
Цех Epsilon;2025-08;Кронштейн F;98;0;-98;0.0%
Цех Epsilon;2025-08;Шток G;115;0;-115;0.0%
Цех Epsilon;2025-08;Плата H;122;0;-122;0.0%
Цех Epsilon;2025-09;Деталь A;75;0;-75;0.0%
Цех Epsilon;2025-09;Узел B;104;0;-104;0.0%
Цех Epsilon;2025-09;Корпус C;129;0;-129;0.0%
Цех Epsilon;2025-09;Модуль D;110;0;-110;0.0%
Цех Epsilon;2025-09;Рама E;106;0;-106;0.0%
Цех Epsilon;2025-09;Кронштейн F;93;0;-93;0.0%
Цех Epsilon;2025-09;Шток G;98;0;-98;0.0%
Цех Epsilon;2025-09;Плата H;118;0;-118;0.0%
Цех Epsilon;2025-10;Деталь A;115;0;-115;0.0%
