workshop,date,product,fact_qty
Цех 3,2025-04,Деталь А,112
Цех 3,2025-04,Узел Б,75
Цех 3,2025-04,Корпус В,122
Цех 3,2025-05,Деталь А,94
Цех 3,2025-05,Узел Б,102
Цех 3,2025-05,Корпус В,98
Цех 3,2025-06,Деталь А,0
Цех 3,2025-06,Узел Б,101
Цех 3,2025-06,Корпус В,103
Цех 3,2025-07,Деталь А,109
Цех 3,2025-07,Узел Б,118
Цех 3,2025-07,Корпус В,68
Цех 3,2025-08,Деталь А,0
Цех 3,2025-08,Узел Б,108
Цех 3,2025-08,Корпус В,106
Цех 3,2025-09,Деталь А,123
Цех 3,2025-09,Узел Б,112
Цех 3,2025-09,Корпус В,110
Цех 3,2025-10,Деталь А,97
Цех 3,2025-10,Узел Б,128
Цех 3,2025-10,Корпус В,83
Цех 3,2025-11,Деталь А,98
Цех 3,2025-11,Узел Б,96
Цех 3,2025-11,Корпус В,74
Цех 3,2025-12,Деталь А,80
Цех 3,2025-12,Узел Б,76
Цех 3,2025-12,Корпус В,105
Цех 4,2025-01,Деталь А,88
Цех 4,2025-01,Узел Б,82
Цех 4,2025-01,Корпус В,98
Цех 4,2025-02,Деталь А,84
Цех 4,2025-02,Узел Б,88
Цех 4,2025-02,Корпус В,93
Цех 4,2025-03,Деталь А,117
Цех 4,2025-03,Узел Б,114
Цех 4,2025-03,Корпус В,76
Цех 4,2025-04,Деталь А,82
Цех 4,2025-04,Узел Б,129
Цех 4,2025-04,Корпус В,108
Цех 4,2025-05,Деталь А,74
Цех 4,2025-05,Узел Б,128
Цех 4,2025-05,Корпус В,88
Цех 4,2025-06,Деталь А,113
Цех 4,2025-06,Узел Б,91
Цех 4,2025-06,Корпус В,103
Цех 4,2025-07,Деталь А,103
Цех 4,2025-07,Узел Б,94
Цех 4,2025-07,Корпус В,128
Цех 4,2025-08,Деталь А,77
Цех 4,2025-08,Узел Б,89
Цех 4,2025-08,Корпус В,115
Цех 4,2025-09,Деталь А,87
Цех 4,2025-09,Узел Б,123
Цех 4,2025-09,Корпус В,113
Цех 4,2025-10,Деталь А,115
Цех 4,2025-10,Узел Б,99
Цех 4,2025-10,Корпус В,102
Цех 4,2025-11,Деталь А,78
Цех 4,2025-11,Узел Б,88
Цех 4,2025-11,Корпус В,96
Цех 4,2025-12,Деталь А,86
Цех 4,2025-12,Узел Б,102
Цех 4,2025-12,Корпус В,93
Цех 5,2025-01,Деталь А,96
Цех 5,2025-01,Узел Б,84
Цех 5,2025-01,Корпус В,117
Цех 5,2025-02,Деталь А,130
Цех 5,2025-02,Узел Б,129
Цех 5,2025-02,Корпус В,99
Цех 5,2025-03,Деталь А,112
Цех 5,2025-03,Узел Б,101
Цех 5,2025-03,Корпус В,97
Цех 5,2025-04,Деталь А,79
Цех 5,2025-04,Узел Б,113
Цех 5,2025-04,Корпус В,74
Цех 5,2025-05,Деталь А,108
Цех 5,2025-05,Узел Б,116
Цех 5,2025-05,Корпус В,86
Цех 5,2025-06,Деталь А,104
Цех 5,2025-06,Узел Б,94
Цех 5,2025-06,Корпус В,90
Цех 5,2025-07,Деталь А,84
Цех 5,2025-07,Узел Б,80
Цех 5,2025-07,Корпус В,91
Цех 5,2025-08,Деталь А,97
Цех 5,2025-08,Узел Б,74
Цех 5,2025-08,Корпус В,75
Цех 5,2025-09,Деталь А,77
Цех 5,2025-09,Узел Б,115
Цех 5,2025-09,Корпус В,85
Цех 5,2025-10,Деталь А,122
Цех 5,2025-10,Узел Б,71
Цех 5,2025-10,Корпус В,80
Цех 5,2025-11,Деталь А,127
Цех 5,2025-11,Узел Б,113
Цех 5,2025-11,Корпус В,97
Цех 5,2025-12,Деталь А,76
Цех 5,2025-12,Узел Б,97
Цех 5,2025-12,Корпус В,83
