Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %;Энергоёмкость;Трудоёмкость;Использование времени
Цех Alpha;2025-09;Плата H;116;79;-37;68.1%;1.22;0.34;117.8%
Цех Alpha;2025-09;Рама E;71;96;25;135.2%;1.69;1.06;30.6%
Цех Alpha;2025-09;Узел B;78;95;17;121.8%;1.03;0.75;30.7%
Цех Alpha;2025-09;Шток G;97;114;17;117.5%;1.70;0.57;27.5%
Цех Alpha;2025-10;Деталь A;129;72;-57;55.8%;0.91;0.84;149.6%
Цех Alpha;2025-10;Корпус C;113;59;-54;52.2%;0.76;1.06;109.1%
Цех Alpha;2025-10;Кронштейн F;116;110;-6;94.8%;1.20;0.20;192.3%
Цех Alpha;2025-10;Модуль D;130;86;-44;66.2%;1.79;1.07;47.1%
Цех Alpha;2025-10;Плата H;83;75;-8;90.4%;1.02;0.38;203.2%
Цех Alpha;2025-10;Рама E;77;93;16;120.8%;0.93;0.22;169.1%
Цех Alpha;2025-10;Узел B;76;68;-8;89.5%;0.79;0.85;27.8%
Цех Alpha;2025-10;Шток G;104;136;32;130.8%;1.56;0.73;43.5%
Цех Alpha;2025-11;Деталь A;86;115;29;133.7%;0.79;1.07;26.1%
Цех Alpha;2025-11;Корпус C;119;110;-9;92.4%;1.44;0.25;223.4%
Цех Alpha;2025-11;Кронштейн F;71;95;24;133.8%;0.76;1.09;47.8%
Цех Alpha;2025-11;Модуль D;109;72;-37;66.1%;0.85;0.49;200.8%
Цех Alpha;2025-11;Плата H;123;91;-32;74.0%;1.78;0.85;27.5%
Цех Alpha;2025-11;Рама E;73;81;8;111.0%;1.74;0.36;215.9%
Цех Alpha;2025-11;Узел B;105;77;-28;73.3%;0.87;0.60;131.5%
Цех Alpha;2025-11;Шток G;75;141;66;188.0%;1.64;1.02;16.2%
Цех Alpha;2025-12;Деталь A;111;126;15;113.5%;0.94;0.65;46.7%
Цех Alpha;2025-12;Корпус C;123;97;-26;78.9%;0.97;0.62;38.8%
Цех Alpha;2025-12;Кронштейн F;95;131;36;137.9%;0.92;0.67;43.6%
Цех Alpha;2025-12;Модуль D;98;87;-11;88.8%;1.55;0.85;69.3%
Цех Alpha;2025-12;Плата H;103;114;11;110.7%;1.08;0.85;24.5%
Цех Alpha;2025-12;Рама E;87;66;-21;75.9%;1.47;0.98;80.7%
Цех Alpha;2025-12;Узел B;73;102;29;139.7%;1.51;0.23;189.0%
Цех Alpha;2025-12;Шток G;113;69;-44;61.1%;1.79;0.22;548.9%
Цех Beta;2025-01;Деталь A;79;119;40;150.6%;1.12;0.89;15.4%
Цех Beta;2025-01;Корпус C;83;0;-83;0.0%;0.00;0.00;0.0%
Цех Beta;2025-01;Кронштейн F;84;112;28;133.3%;0.94;0.15;169.1%
Цех Beta;2025-01;Модуль D;100;134;34;134.0%;1.28;0.24;205.3%
Цех Beta;2025-01;Плата H;83;73;-10;88.0%;0.86;0.34;249.9%
Цех Beta;2025-01;Рама E;117;113;-4;96.6%;1.68;0.70;70.3%
Цех Beta;2025-01;Узел B;105;122;17;116.2%;1.63;0.94;64.0%
Цех Beta;2025-01;Шток G;77;109;32;141.6%;0.85;0.70;77.5%
Цех Beta;2025-02;Деталь A;92;123;31;133.7%;1.46;0.91;55.2%
Цех Beta;2025-02;Корпус C;126;87;-39;69.0%;1.49;0.89;96.1%
Цех Beta;2025-02;Кронштейн F;85;145;60;170.6%;1.19;0.74;66.1%
Цех Beta;2025-02;Модуль D;109;86;-23;78.9%;1.09;0.55;97.8%
Цех Beta;2025-02;Плата H;87;110;23;126.4%;0.94;0.47;143.6%
Цех Beta;2025-02;Рама E;90;82;-8;91.1%;1.59;0.87;27.5%
Цех Beta;2025-02;Узел B;129;82;-47;63.6%;1.42;0.27;209.4%
Цех Beta;2025-02;Шток G;114;103;-11;90.4%;1.79;0.85;32.8%
Цех Beta;2025-03;Деталь A;116;104;-12;89.7%;1.37;0.69;77.8%
Цех Beta;2025-03;Корпус C;93;103;10;110.8%;1.23;0.59;85.0%
Цех Beta;2025-03;Кронштейн F;129;96;-33;74.4%;0.89;0.86;118.5%
Цех Beta;2025-03;Модуль D;95;88;-7;92.6%;0.89;0.20;436.6%
Цех Beta;2025-03;Плата H;129;83;-46;64.3%;1.70;0.36;285.3%
Цех Beta;2025-03;Рама E;94;123;29;130.9%;1.57;0.13;421.0%
Цех Beta;2025-03;Узел B;122;75;-47;61.5%;1.74;0.37;125.6%
Цех Beta;2025-03;Шток G;129;92;-37;71.3%;1.05;0.16;551.7%
Цех Beta;2025-04;Деталь A;114;81;-33;71.1%;1.64;0.38;289.4%
Цех Beta;2025-04;Корпус C;98;119;21;121.4%;1.56;0.20;208.0%
Цех Beta;2025-04;Кронштейн F;70;124;54;177.1%;1.44;0.31;154.2%
Цех Beta;2025-04;Модуль D;84;69;-15;82.1%;1.76;0.67;57.5%
Цех Beta;2025-04;Плата H;76;111;35;146.1%;0.99;0.37;127.1%
Цех Beta;2025-04;Рама E;114;73;-41;64.0%;1.58;0.73;190.1%
Цех Beta;2025-04;Узел B;110;77;-33;70.0%;0.82;1.01;47.8%
Цех Beta;2025-04;Шток G;94;87;-7;92.6%;1.74;1.07;18.2%
Цех Beta;2025-05;Деталь A;78;81;3;103.8%;1.78;0.34;237.1%
Цех Beta;2025-05;Корпус C;70;67;-3;95.7%;1.20;0.26;233.1%
Цех Beta;2025-05;Кронштейн F;93;126;33;135.5%;1.58;0.32;156.6%
Цех Beta;2025-05;Модуль D;113;102;-11;90.3%;1.24;0.52;177.0%
Цех Beta;2025-05;Плата H;120;75;-45;62.5%;1.67;0.97;138.6%
Цех Beta;2025-05;Рама E;77;141;64;183.1%;1.58;0.23;41.7%
Цех Beta;2025-05;Узел B;93;104;11;111.8%;1.49;0.65;39.1%
Цех Beta;2025-05;Шток G;80;86;6;107.5%;1.55;0.86;40.4%
Цех Beta;2025-06;Деталь A;86;111;25;129.1%;1.54;0.67;102.0%
Цех Beta;2025-06;Корпус C;104;133;29;127.9%;1.22;0.51;77.6%
Цех Beta;2025-06;Кронштейн F;128;75;-53;58.6%;1.31;0.27;241.8%
Цех Beta;2025-06;Модуль D;104;0;-104;0.0%;0.00;0.00;0.0%
Цех Beta;2025-06;Плата H;111;0;-111;0.0%;0.00;0.00;0.0%
Цех Beta;2025-06;Рама E;102;88;-14;86.3%;1.04;0.43;213.1%
Цех Beta;2025-06;Узел B;77;59;-18;76.6%;1.70;0.65;172.8%
Цех Beta;2025-06;Шток G;74;90;16;121.6%;1.39;0.48;133.3%
Цех Beta;2025-07;Деталь A;108;87;-21;80.6%;0.91;0.55;134.4%
Цех Beta;2025-07;Корпус C;110;144;34;130.9%;1.78;0.77;23.7%
Цех Beta;2025-07;Кронштейн F;78;80;2;102.6%;0.95;0.96;41.1%
Цех Beta;2025-07;Модуль D;97;0;-97;0.0%;0.00;0.00;0.0%
Цех Beta;2025-07;Плата H;81;79;-2;97.5%;1.13;0.60;33.8%
Цех Beta;2025-07;Рама E;76;102;26;134.2%;0.78;0.93;54.1%
Цех Beta;2025-07;Узел B;127;87;-40;68.5%;0.87;0.84;55.7%
Цех Beta;2025-07;Шток G;77;139;62;180.5%;1.55;1.09;35.3%
Цех Beta;2025-08;Деталь A;103;81;-22;78.6%;1.01;0.23;213.0%
Цех Beta;2025-08;Корпус C;117;103;-14;88.0%;1.21;0.69;123.1%
Цех Beta;2025-08;Кронштейн F;93;102;9;109.7%;0.99;0.94;79.0%
Цех Beta;2025-08;Модуль D;124;96;-28;77.4%;1.78;0.74;67.8%
Цех Beta;2025-08;Плата H;104;75;-29;72.1%;1.07;0.76;59.2%
Цех Beta;2025-08;Рама E;92;96;4;104.3%;1.08;0.12;479.7%
Цех Beta;2025-08;Узел B;102;81;-21;79.4%;0.90;0.46;151.5%
Цех Beta;2025-08;Шток G;106;77;-29;72.6%;1.66;0.33;254.4%
Цех Beta;2025-09;Деталь A;113;95;-18;84.1%;1.60;0.18;112.5%
Цех Beta;2025-09;Корпус C;91;92;1;101.1%;0.99;0.49;33.2%
Цех Beta;2025-09;Кронштейн F;70;102;32;145.7%;1.48;0.94;62.2%
Цех Beta;2025-09;Модуль D;96;100;4;104.2%;1.25;0.14;562.4%
Цех Beta;2025-09;Плата H;106;135;29;127.4%;0.98;0.24;296.6%
Цех Beta;2025-09;Рама E;104;118;14;113.5%;1.04;0.96;50.1%
Цех Beta;2025-09;Узел B;109;76;-33;69.7%;1.45;0.67;172.0%
Цех Beta;2025-09;Шток G;104;132;28;126.9%;1.07;0.93;63.3%
Цех Beta;2025-10;Деталь A;116;89;-27;76.7%;0.76;0.58;92.9%
Цех Beta;2025-10;Корпус C;72;92;20;127.8%;1.64;0.77;45.6%
Цех Beta;2025-10;Кронштейн F;95;90;-5;94.7%;1.62;0.71;120.2%
Цех Beta;2025-10;Модуль D;70;0;-70;0.0%;0.00;0.00;0.0%
Цех Beta;2025-10;Плата H;83;117;34;141.0%;1.29;0.54;95.1%
Цех Beta;2025-10;Рама E;74;108;34;145.9%;1.03;0.89;47.6%
Цех Beta;2025-10;Узел B;83;104;21;125.3%;0.99;0.84;69.3%
Цех Beta;2025-10;Шток G;124;110;-14;88.7%;0.78;0.97;103.1%
Цех Beta;2025-11;Деталь A;108;92;-16;85.2%;0.89;0.45;119.8%
Цех Beta;2025-11;Корпус C;78;102;24;130.8%;0.89;0.35;153.9%
Цех Beta;2025-11;Кронштейн F;95;82;-13;86.3%;0.80;0.26;187.4%
Цех Beta;2025-11;Модуль D;84;80;-4;95.2%;1.75;0.71;48.8%
Цех Beta;2025-11;Плата H;129;86;-43;66.7%;0.97;0.63;89.2%
Цех Beta;2025-11;Рама E;84;145;61;172.6%;1.18;0.99;13.6%
Цех Beta;2025-11;Узел B;96;118;22;122.9%;1.41;0.70;54.2%
Цех Beta;2025-11;Шток G;111;127;16;114.4%;1.25;0.73;43.7%
Цех Beta;2025-12;Деталь A;82;120;38;146.3%;1.62;0.95;23.5%
Цех Beta;2025-12;Корпус C;101;93;-8;92.1%;1.61;0.40;44.5%
Цех Beta;2025-12;Кронштейн F;121;109;-12;90.1%;1.18;1.01;48.2%
Цех Beta;2025-12;Модуль D;108;74;-34;68.5%;1.28;0.98;133.1%
Цех Beta;2025-12;Плата H;101;108;7;106.9%;1.42;0.17;172.5%
Цех Beta;2025-12;Рама E;118;87;-31;73.7%;1.22;1.03;62.0%
Цех Beta;2025-12;Узел B;120;96;-24;80.0%;1.35;0.62;36.5%
Цех Beta;2025-12;Шток G;130;111;-19;85.4%;1.06;0.82;93.8%
Цех Delta;2025-01;Деталь A;73;110;37;150.7%;1.12;1.05;35.1%
Цех Delta;2025-01;Корпус C;80;69;-11;86.2%;1.34;0.97;27.6%
Цех Delta;2025-01;Кронштейн F;86;0;-86;0.0%;0.00;0.00;0.0%
Цех Delta;2025-01;Модуль D;125;68;-57;54.4%;1.64;1.08;122.5%
Цех Delta;2025-01;Плата H;93;0;-93;0.0%;0.00;0.00;0.0%
Цех Delta;2025-01;Рама E;128;82;-46;64.1%;1.44;0.23;382.8%
Цех Delta;2025-01;Узел B;124;97;-27;78.2%;1.60;0.57;164.7%
Цех Delta;2025-01;Шток G;107;113;6;105.6%;1.72;0.29;131.5%
Цех Delta;2025-02;Деталь A;74;121;47;163.5%;1.16;1.05;49.3%
Цех Delta;2025-02;Корпус C;103;104;1;101.0%;1.57;1.06;79.6%
Цех Delta;2025-02;Кронштейн F;80;103;23;128.8%;1.52;0.21;136.7%
Цех Delta;2025-02;Модуль D;75;130;55;173.3%;0.76;0.13;298.1%
Цех Delta;2025-02;Плата H;85;97;12;114.1%;1.72;1.09;16.1%
Цех Delta;2025-02;Рама E;91;101;10;111.0%;1.59;0.17;109.6%
Цех Delta;2025-02;Узел B;121;112;-9;92.6%;1.25;0.82;29.7%
Цех Delta;2025-02;Шток G;117;96;-21;82.1%;1.69;0.12;689.4%
Цех Delta;2025-03;Деталь A;102;101;-1;99.0%;1.42;0.21;283.6%
Цех Delta;2025-03;Корпус C;129;102;-27;79.1%;1.35;0.53;147.7%
Цех Delta;2025-03;Кронштейн F;85;103;18;121.2%;1.75;0.69;105.3%
Цех Delta;2025-03;Модуль D;128;63;-65;49.2%;1.71;0.22;170.3%
Цех Delta;2025-03;Плата H;72;107;35;148.6%;1.74;0.99;48.2%
Цех Delta;2025-03;Рама E;75;88;13;117.3%;0.99;1.06;64.8%
Цех Delta;2025-03;Узел B;78;0;-78;0.0%;0.00;0.00;0.0%
Цех Delta;2025-03;Шток G;98;81;-17;82.7%;1.09;0.94;112.5%
Цех Delta;2025-04;Деталь A;89;98;9;110.1%;1.68;0.65;34.4%
Цех Delta;2025-04;Корпус C;128;101;-27;78.9%;1.06;0.98;21.7%
Цех Delta;2025-04;Кронштейн F;95;119;24;125.3%;1.20;0.16;263.0%
Цех Delta;2025-04;Модуль D;105;67;-38;63.8%;1.63;0.45;58.6%
Цех Delta;2025-04;Плата H;88;114;26;129.5%;0.96;0.13;393.7%
Цех Delta;2025-04;Рама E;88;113;25;128.4%;1.62;0.63;48.9%
Цех Delta;2025-04;Узел B;129;117;-12;90.7%;1.10;0.96;82.7%
Цех Delta;2025-04;Шток G;72;133;61;184.7%;1.19;0.63;62.3%
Цех Delta;2025-05;Деталь A;89;80;-9;89.9%;1.52;1.07;50.5%
Цех Delta;2025-05;Корпус C;76;117;41;153.9%;1.50;0.92;63.4%
Цех Delta;2025-05;Кронштейн F;102;124;22;121.6%;0.77;0.38;58.5%
Цех Delta;2025-05;Модуль D;121;71;-50;58.7%;1.80;0.52;154.6%
Цех Delta;2025-05;Плата H;108;108;0;100.0%;1.55;0.22;304.0%
Цех Delta;2025-05;Рама E;110;92;-18;83.6%;1.37;0.77;76.1%
Цех Delta;2025-05;Узел B;101;115;14;113.9%;1.19;0.86;36.1%
Цех Delta;2025-05;Шток G;109;71;-38;65.1%;1.26;0.47;241.4%
Цех Delta;2025-06;Деталь A;87;75;-12;86.2%;1.77;0.56;65.4%
Цех Delta;2025-06;Корпус C;70;79;9;112.9%;1.11;0.15;389.5%
Цех Delta;2025-06;Кронштейн F;126;65;-61;51.6%;1.28;0.50;335.0%
Цех Delta;2025-06;Модуль D;80;97;17;121.2%;1.10;1.08;49.0%
Цех Delta;2025-06;Плата H;119;132;13;110.9%;0.85;0.67;64.0%
Цех Delta;2025-06;Рама E;97;62;-35;63.9%;1.45;0.55;101.6%
Цех Delta;2025-06;Узел B;109;76;-33;69.7%;1.23;1.02;29.7%
Цех Delta;2025-06;Шток G;94;69;-25;73.4%;1.63;0.13;273.5%
Цех Delta;2025-07;Деталь A;92;109;17;118.5%;1.77;0.17;424.2%
Цех Delta;2025-07;Корпус C;99;120;21;121.2%;1.67;0.91;56.9%
Цех Delta;2025-07;Кронштейн F;76;142;66;186.8%;1.46;0.17;278.3%
Цех Delta;2025-07;Модуль D;111;93;-18;83.8%;1.66;0.78;68.6%
Цех Delta;2025-07;Плата H;85;70;-15;82.4%;1.17;0.19;532.8%
Цех Delta;2025-07;Рама E;104;89;-15;85.6%;1.73;0.95;43.6%
Цех Delta;2025-07;Узел B;100;65;-35;65.0%;0.87;1.06;67.3%
Цех Delta;2025-07;Шток G;129;97;-32;75.2%;0.95;0.52;116.1%
Цех Delta;2025-08;Деталь A;95;121;26;127.4%;1.10;0.78;32.3%
Цех Delta;2025-08;Корпус C;126;133;7;105.6%;1.57;0.89;18.5%
Цех Delta;2025-08;Кронштейн F;118;109;-9;92.4%;1.52;0.81;106.6%
Цех Delta;2025-08;Модуль D;121;83;-38;68.6%;1.04;0.54;171.4%
Цех Delta;2025-08;Плата H;70;102;32;145.7%;1.05;0.76;78.7%
Цех Delta;2025-08;Рама E;129;103;-26;79.8%;1.78;0.22;241.5%
Цех Delta;2025-08;Узел B;117;107;-10;91.5%;1.74;0.75;45.2%
Цех Delta;2025-08;Шток G;71;98;27;138.0%;0.83;0.71;51.3%
Цех Delta;2025-09;Деталь A;117;79;-38;67.5%;0.93;1.03;41.7%
Цех Delta;2025-09;Корпус C;74;118;44;159.5%;1.49;0.49;94.6%
Цех Delta;2025-09;Кронштейн F;128;0;-128;0.0%;0.00;0.00;0.0%
Цех Delta;2025-09;Модуль D;106;102;-4;96.2%;1.39;0.43;177.4%
Цех Delta;2025-09;Плата H;78;57;-21;73.1%;1.02;0.56;60.6%
Цех Delta;2025-09;Рама E;101;95;-6;94.1%;0.93;0.23;354.9%
Цех Delta;2025-09;Узел B;81;82;1;101.2%;1.38;0.73;108.3%
Цех Delta;2025-09;Шток G;124;140;16;112.9%;1.14;0.17;323.8%
Цех Delta;2025-10;Деталь A;110;62;-48;56.4%;1.40;0.84;36.6%
Цех Delta;2025-10;Корпус C;88;118;30;134.1%;1.60;0.96;47.4%
Цех Delta;2025-10;Кронштейн F;72;96;24;133.3%;1.53;0.13;133.7%
Цех Delta;2025-10;Модуль D;117;71;-46;60.7%;0.76;0.70;176.6%
Цех Delta;2025-10;Плата H;93;126;33;135.5%;1.38;0.70;69.7%
Цех Delta;2025-10;Рама E;85;87;2;102.4%;1.49;0.32;156.1%
Цех Delta;2025-10;Узел B;104;87;-17;83.7%;0.76;0.54;184.4%
Цех Delta;2025-10;Шток G;89;91;2;102.2%;1.01;0.18;131.6%
Цех Delta;2025-11;Деталь A;123;115;-8;93.5%;1.60;0.93;54.6%
Цех Delta;2025-11;Корпус C;102;134;32;131.4%;0.82;0.48;81.6%
Цех Delta;2025-11;Кронштейн F;80;147;67;183.8%;1.63;0.61;31.4%
Цех Delta;2025-11;Модуль D;93;69;-24;74.2%;1.10;0.97;27.6%
Цех Delta;2025-11;Плата H;77;100;23;129.9%;0.96;0.70;42.2%
Цех Delta;2025-11;Рама E;121;116;-5;95.9%;1.58;0.57;108.2%
Цех Delta;2025-11;Узел B;125;118;-7;94.4%;1.17;0.62;51.1%
Цех Delta;2025-11;Шток G;118;125;7;105.9%;0.82;0.93;76.1%
Цех Delta;2025-12;Деталь A;105;63;-42;60.0%;1.72;0.22;366.7%
Цех Delta;2025-12;Корпус C;109;78;-31;71.6%;0.94;0.77;37.0%
Цех Delta;2025-12;Кронштейн F;117;97;-20;82.9%;1.67;0.93;77.7%
Цех Delta;2025-12;Модуль D;89;82;-7;92.1%;1.22;0.91;53.0%
Цех Delta;2025-12;Плата H;104;101;-3;97.1%;1.08;1.01;68.7%
Цех Delta;2025-12;Рама E;104;65;-39;62.5%;1.29;0.64;126.6%
Цех Delta;2025-12;Узел B;107;133;26;124.3%;1.18;1.03;12.4%
Цех Delta;2025-12;Шток G;94;0;-94;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-01;Деталь A;94;76;-18;80.9%;0.95;0.96;102.3%
Цех Epsilon;2025-01;Корпус C;87;84;-3;96.6%;1.18;0.83;22.5%
Цех Epsilon;2025-01;Кронштейн F;71;81;10;114.1%;1.69;0.36;81.5%
Цех Epsilon;2025-01;Модуль D;115;109;-6;94.8%;0.92;0.12;441.6%
Цех Epsilon;2025-01;Плата H;104;72;-32;69.2%;1.16;0.35;106.1%
Цех Epsilon;2025-01;Рама E;87;71;-16;81.6%;1.06;0.65;43.1%
Цех Epsilon;2025-01;Узел B;98;126;28;128.6%;1.23;0.53;108.6%
Цех Epsilon;2025-01;Шток G;123;82;-41;66.7%;0.87;0.33;407.4%
Цех Epsilon;2025-02;Деталь A;85;91;6;107.1%;1.79;0.53;93.0%
Цех Epsilon;2025-02;Корпус C;110;62;-48;56.4%;1.32;0.68;175.6%
Цех Epsilon;2025-02;Кронштейн F;73;108;35;147.9%;1.28;0.53;50.3%
Цех Epsilon;2025-02;Модуль D;105;99;-6;94.3%;1.39;0.23;257.3%
Цех Epsilon;2025-02;Плата H;83;102;19;122.9%;1.02;0.13;135.3%
Цех Epsilon;2025-02;Рама E;102;0;-102;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-02;Узел B;130;99;-31;76.2%;1.48;0.81;99.7%
Цех Epsilon;2025-02;Шток G;102;122;20;119.6%;1.46;0.52;86.6%
Цех Epsilon;2025-03;Деталь A;90;103;13;114.4%;1.24;0.98;36.9%
Цех Epsilon;2025-03;Корпус C;89;98;9;110.1%;1.26;0.13;142.6%
Цех Epsilon;2025-03;Кронштейн F;76;70;-6;92.1%;0.83;0.49;128.1%
Цех Epsilon;2025-03;Модуль D;125;110;-15;88.0%;1.70;0.32;159.3%
Цех Epsilon;2025-03;Плата H;86;64;-22;74.4%;1.14;0.19;538.3%
Цех Epsilon;2025-03;Рама E;77;84;7;109.1%;0.94;0.85;27.0%
Цех Epsilon;2025-03;Узел B;117;109;-8;93.2%;1.58;0.56;33.4%
Цех Epsilon;2025-03;Шток G;72;134;62;186.1%;1.74;0.16;221.2%
Цех Epsilon;2025-04;Деталь A;102;72;-30;70.6%;1.44;0.81;52.2%
Цех Epsilon;2025-04;Корпус C;81;110;29;135.8%;1.33;0.19;90.9%
Цех Epsilon;2025-04;Кронштейн F;91;93;2;102.2%;1.11;0.50;33.8%
Цех Epsilon;2025-04;Модуль D;128;74;-54;57.8%;1.30;0.46;234.2%
Цех Epsilon;2025-04;Плата H;91;118;27;129.7%;1.55;0.42;34.6%
Цех Epsilon;2025-04;Рама E;120;101;-19;84.2%;1.45;0.73;110.9%
Цех Epsilon;2025-04;Узел B;117;91;-26;77.8%;1.63;0.49;72.9%
Цех Epsilon;2025-04;Шток G;124;145;21;116.9%;1.38;0.76;95.8%
Цех Epsilon;2025-05;Деталь A;115;140;25;121.7%;0.96;0.43;106.8%
Цех Epsilon;2025-05;Корпус C;107;71;-36;66.4%;1.48;0.50;244.5%
Цех Epsilon;2025-05;Кронштейн F;120;127;7;105.8%;1.04;0.76;50.2%
Цех Epsilon;2025-05;Модуль D;107;0;-107;0.0%;0.00;0.00;0.0%
